id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low,fico_range_high,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_d
55554602,5000.0, 36 months,7.26,154.99,A,A4,2 years,RENT,25000.0,2015-07-01,Fully Paid,credit_card,TX,705.0,709.0,5486.7600716292,5000.0,486.76,2017-05-01
40481658,12000.0, 60 months,14.31,281.16,C,C4,4 years,OWN,35000.0,2015-02-01,Fully Paid,debt_consolidation,FL,680.0,684.0,14982.905227329,12000.0,2982.91,2017-06-01
125812458,15200.0, 60 months,12.62,342.9,C,C1,2 years,RENT,75000.0,2017-12-01,Fully Paid,credit_card,NC,670.0,674.0,15207.570168888898,15200.0,7.57,2017-12-01
48130161,35000.0, 60 months,15.61,843.9,D,D1,10+ years,MORTGAGE,110000.0,2015-05-01,Fully Paid,debt_consolidation,NV,705.0,709.0,41186.1,35000.0,6186.1,2016-08-01
63326292,7500.0, 36 months,11.49,247.29,B,B5,9 years,MORTGAGE,35256.0,2015-11-01,Charged Off,credit_card,MI,710.0,714.0,732.29,531.49,200.8,2016-02-01
85737713,7000.0, 36 months,12.79,235.16,C,C1,10+ years,MORTGAGE,49920.0,2016-08-01,Fully Paid,home_improvement,AZ,690.0,694.0,7673.8942569101,7000.0,673.89,2017-06-01
76618497,35000.0, 60 months,21.97,966.07,E,E4,10+ years,RENT,71000.0,2016-05-01,Fully Paid,debt_consolidation,OH,715.0,719.0,50115.8657287009,35000.0,15115.87,2018-08-01
80005184,24000.0, 36 months,12.99,808.54,C,C2,10+ years,MORTGAGE,68000.0,2016-06-01,Fully Paid,debt_consolidation,KY,685.0,689.0,24848.97,24000.0,848.97,2016-09-01
132024457,2500.0, 36 months,21.85,95.29,D,D5,10+ years,OWN,108555.0,2018-04-01,Fully Paid,other,AZ,685.0,689.0,2909.9093793622,2500.0,409.91,2019-02-01
12266656,23000.0, 60 months,15.61,554.57,C,C5,< 1 year,RENT,72000.0,2014-02-01,Fully Paid,debt_consolidation,GA,705.0,709.0,29656.94,23000.0,6656.94,2016-05-01
130827923,6000.0, 36 months,14.07,205.27,C,C3,1 year,MORTGAGE,50000.0,2018-03-01,Fully Paid,other,MN,685.0,689.0,6679.020050468001,6000.0,679.02,2019-02-01
12346242,15000.0, 36 months,12.49,501.74,B,B4,10+ years,RENT,102000.0,2014-02-01,Fully Paid,debt_consolidation,NY,675.0,679.0,17901.9500173917,15000.0,2901.95,2016-06-01
549198,25000.0, 60 months,18.67,643.99,F,F2,10+ years,MORTGAGE,236004.0,2010-07-01,Fully Paid,debt_consolidation,NJ,680.0,684.0,38521.9300000063,25000.0,13521.93,2015-03-01
39649548,18000.0, 60 months,8.18,366.53,B,B1,7 years,RENT,112000.0,2015-02-01,Fully Paid,debt_consolidation,NY,715.0,719.0,20397.0782804022,18000.0,2397.08,2017-01-01
70610201,14000.0, 36 months,12.99,471.65,C,C2,2 years,RENT,60000.0,2016-02-01,Fully Paid,debt_consolidation,CA,685.0,689.0,16706.9040003384,14000.0,2706.9,2018-04-01
55441998,3000.0, 36 months,12.29,100.06,C,C1,Unknown,RENT,20000.0,2015-07-01,Charged Off,debt_consolidation,MI,695.0,699.0,1315.02,802.97,295.64,2016-06-01
106741362,10000.0, 36 months,13.49,339.31,C,C2,9 years,MORTGAGE,92000.0,2017-04-01,Fully Paid,small_business,WA,675.0,679.0,11786.2104058025,10000.0,1786.21,2019-01-01
5768279,19500.0, 60 months,24.5,566.65,F,F3,3 years,MORTGAGE,56800.0,2013-08-01,Fully Paid,debt_consolidation,CT,670.0,674.0,29461.66,19500.0,9961.66,2016-01-01
125072584,3600.0, 36 months,13.59,122.33,C,C2,8 years,RENT,55000.0,2017-12-01,Fully Paid,other,WA,755.0,759.0,4089.6847380232,3600.0,489.68,2019-03-01
73864491,10500.0, 60 months,11.99,233.52,C,C1,1 year,MORTGAGE,56000.0,2016-03-01,Fully Paid,credit_card,OH,670.0,674.0,12706.6082618424,10500.0,2206.61,2018-04-01
40411146,15000.0, 36 months,11.99,498.15,B,B5,10+ years,OWN,54208.0,2015-02-01,Fully Paid,debt_consolidation,OK,675.0,679.0,17567.293626299,15000.0,2567.29,2017-02-01
73712687,2800.0, 36 months,9.16,89.25,B,B2,10+ years,RENT,50000.0,2016-03-01,Fully Paid,debt_consolidation,MN,665.0,669.0,2921.47,2800.0,121.47,2016-09-01
78589426,14875.0, 36 months,11.99,494.0,C,C1,3 years,RENT,60000.0,2016-05-01,Fully Paid,debt_consolidation,CA,665.0,669.0,17390.1072284324,14875.0,2515.11,2018-04-01
33411005,5000.0, 36 months,7.12,154.66,A,A3,9 years,OWN,98000.0,2014-11-01,Fully Paid,debt_consolidation,CO,695.0,699.0,5453.68,5000.0,453.68,2016-07-01
77585954,22675.0, 60 months,18.99,588.08,D,D4,4 years,OWN,50400.0,2016-05-01,Charged Off,debt_consolidation,NJ,700.0,704.0,12538.0,4396.78,5576.66,2017-11-01
75099769,8000.0, 36 months,5.32,240.92,A,A1,7 years,RENT,45000.0,2016-03-01,Fully Paid,credit_card,IL,785.0,789.0,8572.4426646766,8000.0,572.44,2018-02-01
1021472,2800.0, 36 months,13.49,95.01,C,C1,1 year,RENT,45000.0,2011-11-01,Fully Paid,debt_consolidation,NY,685.0,689.0,3404.552449082601,2800.0,604.55,2014-07-01
83924283,10200.0, 36 months,9.49,326.69,B,B2,1 year,RENT,42000.0,2016-07-01,Fully Paid,credit_card,TX,720.0,724.0,10774.3981186912,10200.0,574.4,2017-03-01
105588551,4000.0, 36 months,24.74,158.49,E,E3,4 years,OWN,18000.0,2017-04-01,Fully Paid,debt_consolidation,PA,660.0,664.0,4255.2879472881,4000.0,255.29,2017-07-01
46185522,20000.0, 60 months,9.99,424.85,B,B3,5 years,MORTGAGE,175000.0,2015-04-01,Fully Paid,debt_consolidation,OR,660.0,664.0,22837.2,20000.0,2837.2,2016-11-01
38141178,4750.0, 36 months,17.14,169.69,D,D4,10+ years,MORTGAGE,63000.0,2015-01-01,Fully Paid,medical,SC,710.0,714.0,5965.25197508,4750.0,1215.25,2017-02-01
33341805,9600.0, 36 months,7.12,296.95,A,A3,10+ years,MORTGAGE,110000.0,2014-11-01,Fully Paid,debt_consolidation,OH,680.0,684.0,10704.4287730295,9600.0,1089.43,2017-12-01
31025995,24000.0, 60 months,15.61,578.68,D,D1,10+ years,MORTGAGE,60000.0,2014-10-01,Fully Paid,credit_card,CT,670.0,674.0,32321.5924813094,24000.0,8321.59,2017-07-01
12917739,10000.0, 36 months,7.9,312.91,A,A4,7 years,RENT,60000.0,2014-03-01,Fully Paid,credit_card,MD,700.0,704.0,11229.1000000124,10000.0,1229.1,2016-09-01
68608786,19800.0, 36 months,15.77,693.87,D,D1,10+ years,RENT,55000.0,2016-01-01,Charged Off,debt_consolidation,CA,675.0,679.0,6884.11,4114.57,2112.91,2016-10-01
102604410,22825.0, 36 months,30.79,978.86,G,G1,4 years,MORTGAGE,134000.0,2017-03-01,Fully Paid,home_improvement,WA,660.0,664.0,25808.7164475867,22825.0,2983.72,2017-08-01
87164323,3025.0, 36 months,11.49,99.74,B,B5,3 years,MORTGAGE,64000.0,2016-08-01,Fully Paid,other,GA,660.0,664.0,3484.6051808352004,3025.0,459.61,2018-04-01
28814064,12000.0, 36 months,12.49,401.39,B,B5,1 year,MORTGAGE,101000.0,2014-10-01,Fully Paid,debt_consolidation,TN,680.0,684.0,14449.864318614,12000.0,2449.86,2017-10-01
47078218,35000.0, 60 months,13.33,802.29,C,C3,10+ years,RENT,200000.0,2015-05-01,Fully Paid,house,NJ,820.0,824.0,35860.94,35000.0,860.94,2015-07-01
130826023,10000.0, 60 months,26.77,303.99,E,E5,10+ years,OWN,48000.0,2018-04-01,Fully Paid,home_improvement,OH,685.0,689.0,11507.369475488,10000.0,1507.37,2018-10-01
84575131,20000.0, 36 months,10.99,654.68,B,B4,1 year,RENT,51000.0,2016-08-01,Fully Paid,other,NC,715.0,719.0,23376.8841454128,20000.0,3376.88,2019-03-01
13516973,20000.0, 36 months,6.03,608.72,A,A1,3 years,RENT,128000.0,2014-04-01,Fully Paid,debt_consolidation,LA,780.0,784.0,21541.11,20000.0,1541.11,2015-12-01
75101508,10000.0, 36 months,6.97,308.64,A,A3,2 years,MORTGAGE,123000.0,2016-03-01,Fully Paid,debt_consolidation,MD,710.0,714.0,10514.7637293246,10000.0,514.76,2017-02-01
65735947,35000.0, 36 months,14.48,1204.4,C,C5,9 years,MORTGAGE,90000.0,2015-12-01,Fully Paid,debt_consolidation,LA,675.0,679.0,39447.78,35000.0,4447.78,2016-11-01
65302275,12000.0, 60 months,12.05,267.24,C,C1,10+ years,MORTGAGE,75000.0,2015-11-01,Fully Paid,credit_card,MI,705.0,709.0,12544.820000406398,12000.0,544.82,2016-05-01
27642276,11000.0, 60 months,13.98,255.84,C,C3,7 years,MORTGAGE,70000.0,2014-10-01,Charged Off,debt_consolidation,CA,680.0,684.0,9025.55,4917.64,3275.31,2017-06-01
14318447,13000.0, 60 months,15.61,313.45,C,C5,10+ years,MORTGAGE,70000.0,2014-05-01,Fully Paid,debt_consolidation,FL,665.0,669.0,18352.3821010137,13000.0,5352.38,2018-01-01
724391,12000.0, 36 months,7.66,374.16,A,A5,4 years,MORTGAGE,50400.0,2011-04-01,Fully Paid,home_improvement,KY,765.0,769.0,13469.6408136096,12000.0,1469.64,2014-05-01
20059586,10000.0, 36 months,13.98,341.68,C,C3,10+ years,MORTGAGE,60000.0,2014-07-01,Fully Paid,credit_card,MI,670.0,674.0,12295.5252997553,10000.0,2295.53,2017-07-01
23863801,20000.0, 60 months,18.99,518.71,E,E1,10+ years,MORTGAGE,53968.0,2014-08-01,Fully Paid,home_improvement,VA,685.0,689.0,23398.95,20000.0,3398.95,2015-07-01
30565904,10725.0, 60 months,22.99,302.29,F,F1,4 years,MORTGAGE,39000.0,2014-11-01,Fully Paid,debt_consolidation,FL,700.0,704.0,13293.37,10725.0,2568.37,2016-01-01
28943292,18000.0, 36 months,17.57,646.87,D,D4,4 years,MORTGAGE,63000.0,2014-10-01,Fully Paid,small_business,TX,675.0,679.0,22568.13,18000.0,4568.13,2016-06-01
22221468,9100.0, 36 months,16.99,324.4,D,D3,10+ years,RENT,50000.0,2014-07-01,Fully Paid,debt_consolidation,RI,705.0,709.0,11347.44,9100.0,2247.44,2016-07-01
5779374,16000.0, 36 months,13.11,539.96,B,B4,2 years,MORTGAGE,65000.0,2013-06-01,Fully Paid,credit_card,GA,695.0,699.0,17696.0335808639,16000.0,1696.03,2014-05-01
46673650,14900.0, 36 months,14.65,513.97,C,C5,Unknown,MORTGAGE,65000.0,2015-04-01,Fully Paid,debt_consolidation,NJ,660.0,664.0,17925.9869423286,14900.0,3025.99,2017-03-01
85664312,15000.0, 36 months,13.49,508.96,C,C2,10+ years,MORTGAGE,175000.0,2016-07-01,Fully Paid,small_business,CA,735.0,739.0,17138.17216253,15000.0,2138.17,2017-10-01
10177807,21600.0, 36 months,11.99,717.33,B,B3,8 years,MORTGAGE,65000.0,2013-12-01,Fully Paid,debt_consolidation,NY,715.0,719.0,25823.7047243696,21600.0,4223.7,2017-01-01
93893269,7200.0, 36 months,16.99,256.67,D,D1,10+ years,OWN,52000.0,2016-12-01,Charged Off,debt_consolidation,FL,680.0,684.0,1975.96,795.87,473.89,2017-05-01
120084144,9000.0, 36 months,9.93,290.11,B,B2,4 years,OWN,30000.0,2017-10-01,Fully Paid,debt_consolidation,NY,735.0,739.0,9813.9119941911,9000.0,813.91,2018-11-01
130889117,12000.0, 60 months,9.92,254.5,B,B2,7 years,MORTGAGE,29916.0,2018-03-01,Fully Paid,debt_consolidation,NE,730.0,734.0,12614.2563807357,12000.0,614.26,2018-10-01
63525706,5300.0, 36 months,12.69,177.79,C,C2,10+ years,RENT,26000.0,2015-10-01,Charged Off,credit_card,MD,690.0,694.0,4575.03,2399.91,794.12,2017-04-01
61340099,18000.0, 36 months,12.69,603.81,C,C2,2 years,MORTGAGE,60000.0,2015-10-01,Fully Paid,debt_consolidation,TX,680.0,684.0,21619.9478583846,18000.0,3619.95,2018-04-01
135594792,23500.0, 36 months,13.06,792.49,C,C1,4 years,OWN,182500.0,2018-06-01,Fully Paid,credit_card,NJ,720.0,724.0,23555.8760285307,23500.0,55.88,2018-10-01
95876297,8000.0, 36 months,14.99,277.29,C,C4,10+ years,RENT,55000.0,2016-12-01,Charged Off,credit_card,CA,660.0,664.0,5890.45,1289.01,641.73,2017-08-01
19066746,20000.0, 60 months,15.61,482.23,D,D1,4 years,MORTGAGE,70000.0,2014-08-01,Fully Paid,debt_consolidation,MI,695.0,699.0,24835.670000063703,20000.0,4835.67,2016-05-01
109985026,5500.0, 36 months,9.44,176.03,B,B1,4 years,RENT,43000.0,2017-05-01,Fully Paid,credit_card,NV,665.0,669.0,6051.71339521,5500.0,551.71,2018-10-01
78993030,30825.0, 36 months,15.31,1073.25,C,C5,10+ years,RENT,90000.0,2016-05-01,Fully Paid,debt_consolidation,IN,700.0,704.0,37602.0207787001,30825.0,6723.36,2018-03-01
55310966,12000.0, 60 months,18.25,306.36,E,E1,< 1 year,MORTGAGE,50000.0,2015-07-01,Fully Paid,debt_consolidation,TX,665.0,669.0,15188.2251994782,12000.0,3188.23,2017-03-01
77480253,6000.0, 36 months,16.29,211.81,D,D1,4 years,OWN,66500.0,2016-04-01,Fully Paid,other,PA,665.0,669.0,7043.285107504101,6000.0,1043.29,2017-07-01
57618372,11075.0, 36 months,12.69,371.51,C,C2,8 years,OWN,42000.0,2015-08-01,Fully Paid,debt_consolidation,LA,695.0,699.0,13052.5591976116,11075.0,1977.56,2017-07-01
17282593,14875.0, 60 months,16.29,364.03,D,D2,8 years,RENT,45000.0,2014-06-01,Fully Paid,debt_consolidation,SC,665.0,669.0,20582.41070750949,14875.0,5707.41,2017-06-01
41149388,1500.0, 36 months,9.17,47.82,B,B2,2 years,MORTGAGE,42619.0,2015-02-01,Fully Paid,car,AZ,670.0,674.0,1557.44,1500.0,57.44,2015-07-01
40450683,18825.0, 60 months,23.99,541.45,F,F2,10+ years,OWN,45000.0,2015-02-01,Charged Off,debt_consolidation,AL,665.0,669.0,17934.72,6695.09,9523.32,2017-08-01
634636,20000.0, 36 months,6.17,497.14,A,A3,10+ years,MORTGAGE,97000.0,2010-12-01,Fully Paid,debt_consolidation,MD,770.0,774.0,17897.8676511056,16300.0,1597.87,2014-01-01
7659890,10000.0, 36 months,11.99,332.1,B,B3,Unknown,OWN,54000.0,2013-10-01,Fully Paid,debt_consolidation,SC,670.0,674.0,11851.69,10000.0,1851.69,2016-03-01
94029314,5000.0, 36 months,11.49,164.86,B,B5,4 years,RENT,56000.0,2016-11-01,Fully Paid,debt_consolidation,MD,715.0,719.0,5156.3395558237,5000.0,156.34,2017-03-01
110365666,3000.0, 36 months,16.02,105.51,C,C5,2 years,OWN,30000.0,2017-06-01,Fully Paid,debt_consolidation,CA,665.0,669.0,3368.2981074193,3000.0,368.3,2018-05-01
15420036,5400.0, 36 months,17.57,194.07,D,D2,4 years,MORTGAGE,50000.0,2014-04-01,Fully Paid,debt_consolidation,AR,660.0,664.0,5999.11,5400.0,599.11,2015-01-01
61538994,20000.0, 36 months,12.29,667.06,C,C1,10+ years,RENT,50000.0,2015-10-01,Charged Off,debt_consolidation,MD,675.0,679.0,14661.08,10201.75,3125.79,2017-06-01
10434897,11625.0, 60 months,17.57,292.49,D,D2,10+ years,MORTGAGE,43000.0,2014-01-01,Fully Paid,debt_consolidation,SC,720.0,724.0,12618.8702872271,11625.0,993.87,2014-07-01
59090924,8000.0, 36 months,9.17,255.04,B,B2,Unknown,RENT,34000.0,2015-09-01,Fully Paid,debt_consolidation,PA,660.0,664.0,8767.1329866762,8000.0,767.13,2016-12-01
46095605,20000.0, 36 months,7.89,625.72,A,A5,1 year,RENT,125000.0,2015-04-01,Fully Paid,credit_card,MA,725.0,729.0,21823.66,20000.0,1823.66,2016-09-01
91518791,16000.0, 60 months,13.99,372.21,C,C3,9 years,MORTGAGE,262000.0,2016-10-01,Fully Paid,debt_consolidation,TX,665.0,669.0,19187.52039391909,16000.0,3187.52,2018-06-01
87978098,10000.0, 36 months,9.49,320.29,B,B2,2 years,MORTGAGE,81000.0,2016-08-01,Fully Paid,debt_consolidation,IL,675.0,679.0,10351.9588777857,10000.0,351.96,2016-12-01
21190485,30000.0, 36 months,10.15,970.13,B,B2,10+ years,MORTGAGE,65000.0,2014-07-01,Fully Paid,debt_consolidation,OH,705.0,709.0,34924.668078004,30000.0,4924.67,2017-07-01
123939768,12000.0, 36 months,11.99,398.52,B,B5,4 years,MORTGAGE,74000.0,2017-11-01,Fully Paid,credit_card,MI,700.0,704.0,12205.6028974682,12000.0,205.6,2017-12-01
73569218,8000.0, 36 months,10.75,260.97,B,B4,1 year,RENT,45000.0,2016-03-01,Fully Paid,debt_consolidation,NY,660.0,664.0,9411.3712504989,8000.0,1411.37,2019-03-01
1301649,35000.0, 60 months,20.99,946.68,E,E3,2 years,MORTGAGE,169800.0,2012-06-01,Fully Paid,home_improvement,CA,705.0,709.0,51170.73999676541,35000.0,16170.74,2015-02-01
67849444,8000.0, 36 months,9.76,257.24,B,B3,2 years,RENT,65000.0,2015-12-01,Fully Paid,credit_card,CA,705.0,709.0,9256.17543342,8000.0,1256.18,2019-01-01
1344632,32875.0, 36 months,18.55,1197.61,D,D4,2 years,RENT,78000.0,2012-06-01,Fully Paid,debt_consolidation,TX,685.0,689.0,43113.48811544941,32875.0,10238.49,2015-06-01
78379257,10000.0, 36 months,15.31,348.18,C,C5,6 years,MORTGAGE,45000.0,2016-06-01,Fully Paid,debt_consolidation,FL,680.0,684.0,11896.0296586855,10000.0,1896.03,2017-12-01
130141563,2800.0, 36 months,12.61,93.82,C,C1,3 years,MORTGAGE,66000.0,2018-03-01,Fully Paid,credit_card,WI,720.0,724.0,2996.0836011775,2800.0,196.08,2018-10-01
19005754,4850.0, 36 months,15.61,169.58,D,D1,6 years,RENT,40000.0,2014-06-01,Charged Off,home_improvement,CT,745.0,749.0,4370.39,3122.4,1117.1,2016-07-01
72533706,5000.0, 36 months,13.67,170.09,C,C3,Unknown,RENT,40000.0,2016-02-01,Charged Off,debt_consolidation,TN,665.0,669.0,846.65,578.69,267.96,2016-08-01
8215084,8000.0, 36 months,9.99,258.1,B,B1,7 years,RENT,70000.0,2013-10-01,Fully Paid,debt_consolidation,MO,745.0,749.0,8487.410330471,8000.0,487.41,2014-06-01
142160943,6000.0, 36 months,23.4,233.52,E,E1,Unknown,MORTGAGE,33960.0,2018-11-01,Fully Paid,home_improvement,NC,685.0,689.0,6110.13015,6000.0,110.13,2018-12-01
46803844,15400.0, 36 months,14.65,531.22,C,C5,1 year,RENT,42800.0,2015-04-01,Fully Paid,debt_consolidation,HI,725.0,729.0,16590.38,15400.0,1190.38,2015-10-01
38526907,15000.0, 36 months,10.49,487.47,B,B3,3 years,RENT,45000.0,2015-01-01,Fully Paid,debt_consolidation,MA,690.0,694.0,15333.65,15000.0,333.65,2015-03-01
83002197,10000.0, 36 months,9.49,320.29,B,B2,10+ years,MORTGAGE,95000.0,2016-06-01,Fully Paid,debt_consolidation,MN,735.0,739.0,11402.0054789754,10000.0,1402.01,2018-08-01
6706841,5600.0, 36 months,12.35,186.94,B,B4,3 years,OWN,36000.0,2013-08-01,Fully Paid,credit_card,WA,685.0,689.0,6312.1299996424,5600.0,712.13,2015-03-01
61529606,18000.0, 36 months,13.99,615.11,C,C4,9 years,RENT,40000.0,2015-10-01,Charged Off,debt_consolidation,CA,675.0,679.0,14732.17,9579.9,3323.42,2017-07-01
53091126,6000.0, 36 months,7.89,187.72,A,A5,10+ years,MORTGAGE,56000.0,2015-06-01,Fully Paid,debt_consolidation,TN,695.0,699.0,6652.398550135999,6000.0,652.4,2017-05-01
13056409,5950.0, 36 months,24.08,233.69,F,F2,Unknown,MORTGAGE,54000.0,2014-03-01,Fully Paid,other,FL,695.0,699.0,7271.020002977901,5950.0,1321.02,2015-04-01
121218855,20000.0, 36 months,9.44,640.1,B,B1,< 1 year,RENT,50000.0,2017-11-01,Fully Paid,debt_consolidation,GA,675.0,679.0,21327.95132435649,20000.0,1327.95,2018-08-01
39641008,6000.0, 36 months,12.99,202.14,C,C2,3 years,OWN,47500.0,2015-01-01,Fully Paid,other,NY,705.0,709.0,6659.57,6000.0,659.57,2015-12-01
43215120,3200.0, 36 months,13.33,108.33,C,C3,1 year,MORTGAGE,62000.0,2015-03-01,Fully Paid,credit_card,TX,670.0,674.0,3317.66,3200.0,117.66,2015-09-01
5185989,15000.0, 36 months,19.05,550.22,D,D4,1 year,RENT,38000.0,2013-05-01,Fully Paid,credit_card,OK,685.0,689.0,19807.8994339574,15000.0,4807.9,2016-05-01
5165740,21850.0, 36 months,12.12,726.99,B,B3,6 years,RENT,50000.0,2013-05-01,Fully Paid,debt_consolidation,CA,695.0,699.0,25497.5600051077,21850.0,3647.56,2015-04-01
7934672,8000.0, 36 months,12.99,269.52,B,B4,2 years,RENT,39000.0,2013-10-01,Fully Paid,credit_card,FL,695.0,699.0,9702.42,8000.0,1702.42,2016-10-01
444336,10000.0, 36 months,14.26,343.06,C,C5,< 1 year,RENT,52500.0,2009-11-01,Charged Off,debt_consolidation,MA,685.0,689.0,2446.0,1381.56,670.5,2010-05-01
63977144,20000.0, 36 months,13.67,680.36,C,C4,10+ years,MORTGAGE,60500.0,2015-11-01,Charged Off,credit_card,MD,685.0,689.0,14956.14,10100.3,3491.71,2017-07-01
20598982,16000.0, 60 months,16.29,391.56,D,D2,10+ years,RENT,55000.0,2014-07-01,Fully Paid,credit_card,NM,660.0,664.0,18316.68,16000.0,2316.68,2015-07-01
90095929,16000.0, 36 months,5.32,481.84,A,A1,10+ years,MORTGAGE,110000.0,2016-09-01,Fully Paid,debt_consolidation,TX,715.0,719.0,16364.5688808884,16000.0,364.57,2017-03-01
134993816,24000.0, 36 months,5.31,722.65,A,A1,Unknown,RENT,42084.0,2018-06-01,Fully Paid,credit_card,NM,720.0,724.0,24207.3028924604,24000.0,207.3,2018-08-01
1579217,12000.0, 36 months,6.03,365.23,A,A1,6 years,MORTGAGE,56000.0,2012-10-01,Fully Paid,home_improvement,AL,790.0,794.0,13148.1378589565,12000.0,1148.14,2015-10-01
98816551,14000.0, 36 months,13.49,475.03,C,C2,9 years,OWN,135000.0,2017-02-01,Charged Off,debt_consolidation,NY,660.0,664.0,5803.56,2990.8,1273.98,2017-11-01
